region	sector	unit
AT	Steam and hot water supply services	M.EUR
AT	Collected and purified water, distribution services of water (41)	M.EUR
AT	Construction work (45)	M.EUR
AT	Secondary construction material for treatment, Re-processing of secondary construction material into aggregates	M.EUR
AT	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	M.EUR
AT	Retail trade services of motor fuel	M.EUR
AT	Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)	M.EUR
AT	Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)	M.EUR
AT	Hotel and restaurant services (55)	M.EUR
AT	Railway transportation services	M.EUR
AT	Other land transportation services	M.EUR
AT	Transportation services via pipelines	M.EUR
AT	Sea and coastal water transportation services	M.EUR
AT	Inland water transportation services	M.EUR
AT	Air transport services (62)	M.EUR
AT	Supporting and auxiliary transport services; travel agency services (63)	M.EUR
AT	Post and telecommunication services (64)	M.EUR
AT	Financial intermediation services, except insurance and pension funding services (65)	M.EUR
AT	Insurance and pension funding services, except compulsory social security services (66)	M.EUR
AT	Services auxiliary to financial intermediation (67)	M.EUR
AT	Real estate services (70)	M.EUR
AT	Renting services of machinery and equipment without operator and of personal and household goods (71)	M.EUR
AT	Computer and related services (72)	M.EUR
AT	Research and development services (73)	M.EUR
AT	Other business services (74)	M.EUR
AT	Public administration and defence services; compulsory social security services (75)	M.EUR
AT	Education services (80)	M.EUR
AT	Health and social work services (85)	M.EUR
AT	Food waste for treatment: incineration	M.EUR
AT	Paper waste for treatment: incineration	M.EUR
AT	Plastic waste for treatment: incineration	M.EUR
AT	Intert/metal waste for treatment: incineration	M.EUR
AT	Textiles waste for treatment: incineration	M.EUR
AT	Wood waste for treatment: incineration	M.EUR
AT	Oil/hazardous waste for treatment: incineration	M.EUR
AT	Food waste for treatment: biogasification and land application	M.EUR
AT	Paper waste for treatment: biogasification and land application	M.EUR
AT	Sewage sludge for treatment: biogasification and land application	M.EUR
AT	Food waste for treatment: composting and land application	M.EUR
AT	Paper and wood waste for treatment: composting and land application	M.EUR
AT	Food waste for treatment: waste water treatment	M.EUR
AT	Other waste for treatment: waste water treatment	M.EUR
AT	Food waste for treatment: landfill	M.EUR
AT	Paper for treatment: landfill	M.EUR
AT	Plastic waste for treatment: landfill	M.EUR
AT	Inert/metal/hazardous waste for treatment: landfill	M.EUR
AT	Textiles waste for treatment: landfill	M.EUR
AT	Wood waste for treatment: landfill	M.EUR
AT	Membership organisation services n.e.c. (91)	M.EUR
AT	Recreational, cultural and sporting services (92)	M.EUR
AT	Other services (93)	M.EUR
AT	Private households with employed persons (95)	M.EUR
AT	Extra-territorial organizations and bodies	M.EUR
BE	Paddy rice	M.EUR
BE	Wheat	M.EUR
BE	Cereal grains nec	M.EUR
BE	Vegetables, fruit, nuts	M.EUR
BE	Oil seeds	M.EUR
BE	Sugar cane, sugar beet	M.EUR
BE	Plant-based fibers	M.EUR
BE	Crops nec	M.EUR
BE	Cattle	M.EUR
BE	Pigs	M.EUR
BE	Poultry	M.EUR
BE	Meat animals nec	M.EUR
BE	Animal products nec	M.EUR
BE	Raw milk	M.EUR
BE	Wool, silk-worm cocoons	M.EUR
BE	Manure (conventional treatment)	M.EUR
BE	Manure (biogas treatment)	M.EUR
BE	Products of forestry, logging and related services (02)	M.EUR
BE	Fish and other fishing products; services incidental of fishing (05)	M.EUR
BE	Anthracite	M.EUR
BE	Coking Coal	M.EUR
BE	Other Bituminous Coal	M.EUR
BE	Sub-Bituminous Coal	M.EUR
BE	Patent Fuel	M.EUR
BE	Lignite/Brown Coal	M.EUR
BE	BKB/Peat Briquettes	M.EUR
BE	Peat	M.EUR
BE	Crude petroleum and services related to crude oil extraction, excluding surveying	M.EUR
BE	Natural gas and services related to natural gas extraction, excluding surveying	M.EUR
BE	Natural Gas Liquids	M.EUR
BE	Other Hydrocarbons	M.EUR
BE	Uranium and thorium ores (12)	M.EUR
BE	Iron ores	M.EUR
BE	Copper ores and concentrates	M.EUR
BE	Nickel ores and concentrates	M.EUR
BE	Aluminium ores and concentrates	M.EUR
BE	Precious metal ores and concentrates	M.EUR
BE	Lead, zinc and tin ores and concentrates	M.EUR
BE	Other non-ferrous metal ores and concentrates	M.EUR
BE	Stone	M.EUR
BE	Sand and clay	M.EUR
BE	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	M.EUR
BE	Products of meat cattle	M.EUR
BE	Products of meat pigs	M.EUR
BE	Products of meat poultry	M.EUR
BE	Meat products nec	M.EUR
BE	products of Vegetable oils and fats	M.EUR
BE	Dairy products	M.EUR
BE	Processed rice	M.EUR
BE	Sugar	M.EUR
BE	Food products nec	M.EUR
BE	Beverages	M.EUR
BE	Fish products	M.EUR
BE	Tobacco products (16)	M.EUR
BE	Textiles (17)	M.EUR
BE	Wearing apparel; furs (18)	M.EUR
BE	Leather and leather products (19)	M.EUR
BE	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	M.EUR
BE	Wood material for treatment, Re-processing of secondary wood material into new wood material	M.EUR
BE	Pulp	M.EUR
BE	Secondary paper for treatment, Re-processing of secondary paper into new pulp	M.EUR
BE	Paper and paper products	M.EUR
BE	Printed matter and recorded media (22)	M.EUR
BE	Coke Oven Coke	M.EUR
BE	Gas Coke	M.EUR
BE	Coal Tar	M.EUR
BE	Motor Gasoline	M.EUR
BE	Aviation Gasoline	M.EUR
BE	Gasoline Type Jet Fuel	M.EUR
BE	Kerosene Type Jet Fuel	M.EUR
BE	Kerosene	M.EUR
BE	Gas/Diesel Oil	M.EUR
BE	Heavy Fuel Oil	M.EUR
