region	sector	unit
DK	Other services (93)	M.EUR
DK	Private households with employed persons (95)	M.EUR
DK	Extra-territorial organizations and bodies	M.EUR
EE	Paddy rice	M.EUR
EE	Wheat	M.EUR
EE	Cereal grains nec	M.EUR
EE	Vegetables, fruit, nuts	M.EUR
EE	Oil seeds	M.EUR
EE	Sugar cane, sugar beet	M.EUR
EE	Plant-based fibers	M.EUR
EE	Crops nec	M.EUR
EE	Cattle	M.EUR
EE	Pigs	M.EUR
EE	Poultry	M.EUR
EE	Meat animals nec	M.EUR
EE	Animal products nec	M.EUR
EE	Raw milk	M.EUR
EE	Wool, silk-worm cocoons	M.EUR
EE	Manure (conventional treatment)	M.EUR
EE	Manure (biogas treatment)	M.EUR
EE	Products of forestry, logging and related services (02)	M.EUR
EE	Fish and other fishing products; services incidental of fishing (05)	M.EUR
EE	Anthracite	M.EUR
EE	Coking Coal	M.EUR
EE	Other Bituminous Coal	M.EUR
EE	Sub-Bituminous Coal	M.EUR
EE	Patent Fuel	M.EUR
EE	Lignite/Brown Coal	M.EUR
EE	BKB/Peat Briquettes	M.EUR
EE	Peat	M.EUR
EE	Crude petroleum and services related to crude oil extraction, excluding surveying	M.EUR
EE	Natural gas and services related to natural gas extraction, excluding surveying	M.EUR
EE	Natural Gas Liquids	M.EUR
EE	Other Hydrocarbons	M.EUR
EE	Uranium and thorium ores (12)	M.EUR
EE	Iron ores	M.EUR
EE	Copper ores and concentrates	M.EUR
EE	Nickel ores and concentrates	M.EUR
EE	Aluminium ores and concentrates	M.EUR
EE	Precious metal ores and concentrates	M.EUR
EE	Lead, zinc and tin ores and concentrates	M.EUR
EE	Other non-ferrous metal ores and concentrates	M.EUR
EE	Stone	M.EUR
EE	Sand and clay	M.EUR
EE	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	M.EUR
EE	Products of meat cattle	M.EUR
EE	Products of meat pigs	M.EUR
EE	Products of meat poultry	M.EUR
EE	Meat products nec	M.EUR
EE	products of Vegetable oils and fats	M.EUR
EE	Dairy products	M.EUR
EE	Processed rice	M.EUR
EE	Sugar	M.EUR
EE	Food products nec	M.EUR
EE	Beverages	M.EUR
EE	Fish products	M.EUR
EE	Tobacco products (16)	M.EUR
EE	Textiles (17)	M.EUR
EE	Wearing apparel; furs (18)	M.EUR
EE	Leather and leather products (19)	M.EUR
EE	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	M.EUR
EE	Wood material for treatment, Re-processing of secondary wood material into new wood material	M.EUR
EE	Pulp	M.EUR
EE	Secondary paper for treatment, Re-processing of secondary paper into new pulp	M.EUR
EE	Paper and paper products	M.EUR
EE	Printed matter and recorded media (22)	M.EUR
EE	Coke Oven Coke	M.EUR
EE	Gas Coke	M.EUR
EE	Coal Tar	M.EUR
EE	Motor Gasoline	M.EUR
EE	Aviation Gasoline	M.EUR
EE	Gasoline Type Jet Fuel	M.EUR
EE	Kerosene Type Jet Fuel	M.EUR
EE	Kerosene	M.EUR
EE	Gas/Diesel Oil	M.EUR
EE	Heavy Fuel Oil	M.EUR
EE	Refinery Gas	M.EUR
EE	Liquefied Petroleum Gases (LPG)	M.EUR
EE	Refinery Feedstocks	M.EUR
EE	Ethane	M.EUR
EE	Naphtha	M.EUR
EE	White Spirit & SBP	M.EUR
EE	Lubricants	M.EUR
EE	Bitumen	M.EUR
EE	Paraffin Waxes	M.EUR
EE	Petroleum Coke	M.EUR
EE	Non-specified Petroleum Products	M.EUR
EE	Nuclear fuel	M.EUR
EE	Plastics, basic	M.EUR
EE	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	M.EUR
EE	N-fertiliser	M.EUR
EE	P- and other fertiliser	M.EUR
EE	Chemicals nec	M.EUR
EE	Charcoal	M.EUR
EE	Additives/Blending Components	M.EUR
EE	Biogasoline	M.EUR
EE	Biodiesels	M.EUR
EE	Other Liquid Biofuels	M.EUR
EE	Rubber and plastic products (25)	M.EUR
EE	Glass and glass products	M.EUR
EE	Secondary glass for treatment, Re-processing of secondary glass into new glass	M.EUR
EE	Ceramic goods	M.EUR
EE	Bricks, tiles and construction products, in baked clay	M.EUR
EE	Cement, lime and plaster	M.EUR
EE	Ash for treatment, Re-processing of ash into clinker	M.EUR
EE	Other non-metallic mineral products	M.EUR
EE	Basic iron and steel and of ferro-alloys and first products thereof	M.EUR
EE	Secondary steel for treatment, Re-processing of secondary steel into new steel	M.EUR
EE	Precious metals	M.EUR
EE	Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals	M.EUR
EE	Aluminium and aluminium products	M.EUR
EE	Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium	M.EUR
EE	Lead, zinc and tin and products thereof	M.EUR
EE	Secondary lead for treatment, Re-processing of secondary lead into new lead	M.EUR
EE	Copper products	M.EUR
EE	Secondary copper for treatment, Re-processing of secondary copper into new copper	M.EUR
EE	Other non-ferrous metal products	M.EUR
EE	Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	M.EUR
EE	Foundry work services	M.EUR
EE	Fabricated metal products, except machinery and equipment (28)	M.EUR
EE	Machinery and equipment n.e.c. (29)	M.EUR
EE	Office machinery and computers (30)	M.EUR
EE	Electrical machinery and apparatus n.e.c. (31)	M.EUR
EE	Radio, television and communication equipment and apparatus (32)	M.EUR
EE	Medical, precision and optical instruments, watches and clocks (33)	M.EUR
EE	Motor vehicles, trailers and semi-trailers (34)	M.EUR
EE	Other transport equipment (35)	M.EUR
EE	Furniture; other manufactured goods n.e.c. (36)	M.EUR
EE	Secondary raw materials	M.EUR
EE	Bottles for treatment, Recycling of bottles by direct reuse	M.EUR
EE	Electricity by coal	M.EUR
EE	Electricity by gas	M.EUR
EE	Electricity by nuclear	M.EUR
EE	Electricity by hydro	M.EUR
EE	Electricity by wind	M.EUR
EE	Electricity by petroleum and other oil derivatives	M.EUR
EE	Electricity by biomass and waste	M.EUR
EE	Electricity by solar photovoltaic	M.EUR
EE	Electricity by solar thermal	M.EUR
EE	Electricity by tide, wave, ocean	M.EUR
EE	Electricity by Geothermal	M.EUR
EE	Electricity nec	M.EUR
EE	Transmission services of electricity	M.EUR
EE	Distribution and trade services of electricity	M.EUR
EE	Coke oven gas	M.EUR
EE	Blast Furnace Gas	M.EUR
EE	Oxygen Steel Furnace Gas	M.EUR
EE	Gas Works Gas	M.EUR
EE	Biogas	M.EUR
EE	Distribution services of gaseous fuels through mains	M.EUR
EE	Steam and hot water supply services	M.EUR
EE	Collected and purified water, distribution services of water (41)	M.EUR
EE	Construction work (45)	M.EUR
EE	Secondary construction material for treatment, Re-processing of secondary construction material into aggregates	M.EUR
EE	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	M.EUR
EE	Retail trade services of motor fuel	M.EUR
EE	Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)	M.EUR
EE	Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)	M.EUR
EE	Hotel and restaurant services (55)	M.EUR
EE	Railway transportation services	M.EUR
EE	Other land transportation services	M.EUR
EE	Transportation services via pipelines	M.EUR
EE	Sea and coastal water transportation services	M.EUR
EE	Inland water transportation services	M.EUR
EE	Air transport services (62)	M.EUR
EE	Supporting and auxiliary transport services; travel agency services (63)	M.EUR
EE	Post and telecommunication services (64)	M.EUR
EE	Financial intermediation services, except insurance and pension funding services (65)	M.EUR
EE	Insurance and pension funding services, except compulsory social security services (66)	M.EUR
EE	Services auxiliary to financial intermediation (67)	M.EUR
EE	Real estate services (70)	M.EUR
EE	Renting services of machinery and equipment without operator and of personal and household goods (71)	M.EUR
EE	Computer and related services (72)	M.EUR
EE	Research and development services (73)	M.EUR
EE	Other business services (74)	M.EUR
EE	Public administration and defence services; compulsory social security services (75)	M.EUR
EE	Education services (80)	M.EUR
EE	Health and social work services (85)	M.EUR
EE	Food waste for treatment: incineration	M.EUR
EE	Paper waste for treatment: incineration	M.EUR
EE	Plastic waste for treatment: incineration	M.EUR
EE	Intert/metal waste for treatment: incineration	M.EUR
EE	Textiles waste for treatment: incineration	M.EUR
EE	Wood waste for treatment: incineration	M.EUR
EE	Oil/hazardous waste for treatment: incineration	M.EUR
EE	Food waste for treatment: biogasification and land application	M.EUR
EE	Paper waste for treatment: biogasification and land application	M.EUR
EE	Sewage sludge for treatment: biogasification and land application	M.EUR
EE	Food waste for treatment: composting and land application	M.EUR
EE	Paper and wood waste for treatment: composting and land application	M.EUR
EE	Food waste for treatment: waste water treatment	M.EUR
EE	Other waste for treatment: waste water treatment	M.EUR
EE	Food waste for treatment: landfill	M.EUR
EE	Paper for treatment: landfill	M.EUR
EE	Plastic waste for treatment: landfill	M.EUR
EE	Inert/metal/hazardous waste for treatment: landfill	M.EUR
EE	Textiles waste for treatment: landfill	M.EUR
EE	Wood waste for treatment: landfill	M.EUR
EE	Membership organisation services n.e.c. (91)	M.EUR
EE	Recreational, cultural and sporting services (92)	M.EUR
EE	Other services (93)	M.EUR
EE	Private households with employed persons (95)	M.EUR
EE	Extra-territorial organizations and bodies	M.EUR
ES	Paddy rice	M.EUR
ES	Wheat	M.EUR
ES	Cereal grains nec	M.EUR
ES	Vegetables, fruit, nuts	M.EUR
ES	Oil seeds	M.EUR
ES	Sugar cane, sugar beet	M.EUR
ES	Plant-based fibers	M.EUR
ES	Crops nec	M.EUR
ES	Cattle	M.EUR
ES	Pigs	M.EUR
ES	Poultry	M.EUR
ES	Meat animals nec	M.EUR
ES	Animal products nec	M.EUR
ES	Raw milk	M.EUR
ES	Wool, silk-worm cocoons	M.EUR
ES	Manure (conventional treatment)	M.EUR
ES	Manure (biogas treatment)	M.EUR
ES	Products of forestry, logging and related services (02)	M.EUR
ES	Fish and other fishing products; services incidental of fishing (05)	M.EUR
ES	Anthracite	M.EUR
ES	Coking Coal	M.EUR
ES	Other Bituminous Coal	M.EUR
ES	Sub-Bituminous Coal	M.EUR
ES	Patent Fuel	M.EUR
ES	Lignite/Brown Coal	M.EUR
ES	BKB/Peat Briquettes	M.EUR
ES	Peat	M.EUR
ES	Crude petroleum and services related to crude oil extraction, excluding surveying	M.EUR
ES	Natural gas and services related to natural gas extraction, excluding surveying	M.EUR
ES	Natural Gas Liquids	M.EUR
ES	Other Hydrocarbons	M.EUR
ES	Uranium and thorium ores (12)	M.EUR
ES	Iron ores	M.EUR
ES	Copper ores and concentrates	M.EUR
ES	Nickel ores and concentrates	M.EUR
ES	Aluminium ores and concentrates	M.EUR
ES	Precious metal ores and concentrates	M.EUR
ES	Lead, zinc and tin ores and concentrates	M.EUR
ES	Other non-ferrous metal ores and concentrates	M.EUR
ES	Stone	M.EUR
ES	Sand and clay	M.EUR
ES	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	M.EUR
ES	Products of meat cattle	M.EUR
ES	Products of meat pigs	M.EUR
ES	Products of meat poultry	M.EUR
ES	Meat products nec	M.EUR
ES	products of Vegetable oils and fats	M.EUR
ES	Dairy products	M.EUR
ES	Processed rice	M.EUR
ES	Sugar	M.EUR
ES	Food products nec	M.EUR
ES	Beverages	M.EUR
ES	Fish products	M.EUR
ES	Tobacco products (16)	M.EUR
ES	Textiles (17)	M.EUR
ES	Wearing apparel; furs (18)	M.EUR
ES	Leather and leather products (19)	M.EUR
ES	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	M.EUR
ES	Wood material for treatment, Re-processing of secondary wood material into new wood material	M.EUR
ES	Pulp	M.EUR
ES	Secondary paper for treatment, Re-processing of secondary paper into new pulp	M.EUR
ES	Paper and paper products	M.EUR
ES	Printed matter and recorded media (22)	M.EUR
ES	Coke Oven Coke	M.EUR
ES	Gas Coke	M.EUR
ES	Coal Tar	M.EUR
ES	Motor Gasoline	M.EUR
ES	Aviation Gasoline	M.EUR
ES	Gasoline Type Jet Fuel	M.EUR
ES	Kerosene Type Jet Fuel	M.EUR
ES	Kerosene	M.EUR
ES	Gas/Diesel Oil	M.EUR
ES	Heavy Fuel Oil	M.EUR
ES	Refinery Gas	M.EUR
ES	Liquefied Petroleum Gases (LPG)	M.EUR
ES	Refinery Feedstocks	M.EUR
ES	Ethane	M.EUR
ES	Naphtha	M.EUR
ES	White Spirit & SBP	M.EUR
ES	Lubricants	M.EUR
ES	Bitumen	M.EUR
ES	Paraffin Waxes	M.EUR
ES	Petroleum Coke	M.EUR
ES	Non-specified Petroleum Products	M.EUR
ES	Nuclear fuel	M.EUR
ES	Plastics, basic	M.EUR
ES	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	M.EUR
ES	N-fertiliser	M.EUR
ES	P- and other fertiliser	M.EUR
ES	Chemicals nec	M.EUR
ES	Charcoal	M.EUR
ES	Additives/Blending Components	M.EUR
ES	Biogasoline	M.EUR
ES	Biodiesels	M.EUR
ES	Other Liquid Biofuels	M.EUR
ES	Rubber and plastic products (25)	M.EUR
ES	Glass and glass products	M.EUR
ES	Secondary glass for treatment, Re-processing of secondary glass into new glass	M.EUR
ES	Ceramic goods	M.EUR
ES	Bricks, tiles and construction products, in baked clay	M.EUR
ES	Cement, lime and plaster	M.EUR
ES	Ash for treatment, Re-processing of ash into clinker	M.EUR
ES	Other non-metallic mineral products	M.EUR
ES	Basic iron and steel and of ferro-alloys and first products thereof	M.EUR
ES	Secondary steel for treatment, Re-processing of secondary steel into new steel	M.EUR
ES	Precious metals	M.EUR
ES	Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals	M.EUR
ES	Aluminium and aluminium products	M.EUR
ES	Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium	M.EUR
ES	Lead, zinc and tin and products thereof	M.EUR
ES	Secondary lead for treatment, Re-processing of secondary lead into new lead	M.EUR
ES	Copper products	M.EUR
ES	Secondary copper for treatment, Re-processing of secondary copper into new copper	M.EUR
ES	Other non-ferrous metal products	M.EUR
ES	Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	M.EUR
ES	Foundry work services	M.EUR
ES	Fabricated metal products, except machinery and equipment (28)	M.EUR
ES	Machinery and equipment n.e.c. (29)	M.EUR
ES	Office machinery and computers (30)	M.EUR
ES	Electrical machinery and apparatus n.e.c. (31)	M.EUR
ES	Radio, television and communication equipment and apparatus (32)	M.EUR
ES	Medical, precision and optical instruments, watches and clocks (33)	M.EUR
ES	Motor vehicles, trailers and semi-trailers (34)	M.EUR
ES	Other transport equipment (35)	M.EUR
ES	Furniture; other manufactured goods n.e.c. (36)	M.EUR
ES	Secondary raw materials	M.EUR
ES	Bottles for treatment, Recycling of bottles by direct reuse	M.EUR
ES	Electricity by coal	M.EUR
ES	Electricity by gas	M.EUR
ES	Electricity by nuclear	M.EUR
ES	Electricity by hydro	M.EUR
ES	Electricity by wind	M.EUR
ES	Electricity by petroleum and other oil derivatives	M.EUR
ES	Electricity by biomass and waste	M.EUR
ES	Electricity by solar photovoltaic	M.EUR
ES	Electricity by solar thermal	M.EUR
ES	Electricity by tide, wave, ocean	M.EUR
ES	Electricity by Geothermal	M.EUR
ES	Electricity nec	M.EUR
ES	Transmission services of electricity	M.EUR
ES	Distribution and trade services of electricity	M.EUR
ES	Coke oven gas	M.EUR
ES	Blast Furnace Gas	M.EUR
ES	Oxygen Steel Furnace Gas	M.EUR
ES	Gas Works Gas	M.EUR
ES	Biogas	M.EUR
ES	Distribution services of gaseous fuels through mains	M.EUR
ES	Steam and hot water supply services	M.EUR
ES	Collected and purified water, distribution services of water (41)	M.EUR
ES	Construction work (45)	M.EUR
ES	Secondary construction material for treatment, Re-processing of secondary construction material into aggregates	M.EUR
ES	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	M.EUR
ES	Retail trade services of motor fuel	M.EUR
ES	Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)	M.EUR
ES	Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)	M.EUR
ES	Hotel and restaurant services (55)	M.EUR
ES	Railway transportation services	M.EUR
ES	Other land transportation services	M.EUR
ES	Transportation services via pipelines	M.EUR
ES	Sea and coastal water transportation services	M.EUR
ES	Inland water transportation services	M.EUR
ES	Air transport services (62)	M.EUR
ES	Supporting and auxiliary transport services; travel agency services (63)	M.EUR
ES	Post and telecommunication services (64)	M.EUR
ES	Financial intermediation services, except insurance and pension funding services (65)	M.EUR
ES	Insurance and pension funding services, except compulsory social security services (66)	M.EUR
ES	Services auxiliary to financial intermediation (67)	M.EUR
ES	Real estate services (70)	M.EUR
ES	Renting services of machinery and equipment without operator and of personal and household goods (71)	M.EUR
ES	Computer and related services (72)	M.EUR
ES	Research and development services (73)	M.EUR
ES	Other business services (74)	M.EUR
ES	Public administration and defence services; compulsory social security services (75)	M.EUR
ES	Education services (80)	M.EUR
ES	Health and social work services (85)	M.EUR
ES	Food waste for treatment: incineration	M.EUR
ES	Paper waste for treatment: incineration	M.EUR
ES	Plastic waste for treatment: incineration	M.EUR
ES	Intert/metal waste for treatment: incineration	M.EUR
ES	Textiles waste for treatment: incineration	M.EUR
ES	Wood waste for treatment: incineration	M.EUR
ES	Oil/hazardous waste for treatment: incineration	M.EUR
ES	Food waste for treatment: biogasification and land application	M.EUR
ES	Paper waste for treatment: biogasification and land application	M.EUR
ES	Sewage sludge for treatment: biogasification and land application	M.EUR
ES	Food waste for treatment: composting and land application	M.EUR
ES	Paper and wood waste for treatment: composting and land application	M.EUR
ES	Food waste for treatment: waste water treatment	M.EUR
ES	Other waste for treatment: waste water treatment	M.EUR
ES	Food waste for treatment: landfill	M.EUR
ES	Paper for treatment: landfill	M.EUR
ES	Plastic waste for treatment: landfill	M.EUR
ES	Inert/metal/hazardous waste for treatment: landfill	M.EUR
ES	Textiles waste for treatment: landfill	M.EUR
ES	Wood waste for treatment: landfill	M.EUR
ES	Membership organisation services n.e.c. (91)	M.EUR
ES	Recreational, cultural and sporting services (92)	M.EUR
ES	Other services (93)	M.EUR
ES	Private households with employed persons (95)	M.EUR
ES	Extra-territorial organizations and bodies	M.EUR
FI	Paddy rice	M.EUR
FI	Wheat	M.EUR
FI	Cereal grains nec	M.EUR
FI	Vegetables, fruit, nuts	M.EUR
FI	Oil seeds	M.EUR
FI	Sugar cane, sugar beet	M.EUR
FI	Plant-based fibers	M.EUR
FI	Crops nec	M.EUR
FI	Cattle	M.EUR
FI	Pigs	M.EUR
FI	Poultry	M.EUR
FI	Meat animals nec	M.EUR
FI	Animal products nec	M.EUR
FI	Raw milk	M.EUR
FI	Wool, silk-worm cocoons	M.EUR
FI	Manure (conventional treatment)	M.EUR
FI	Manure (biogas treatment)	M.EUR
FI	Products of forestry, logging and related services (02)	M.EUR
FI	Fish and other fishing products; services incidental of fishing (05)	M.EUR
FI	Anthracite	M.EUR
FI	Coking Coal	M.EUR
FI	Other Bituminous Coal	M.EUR
FI	Sub-Bituminous Coal	M.EUR
FI	Patent Fuel	M.EUR
FI	Lignite/Brown Coal	M.EUR
FI	BKB/Peat Briquettes	M.EUR
FI	Peat	M.EUR
FI	Crude petroleum and services related to crude oil extraction, excluding surveying	M.EUR
FI	Natural gas and services related to natural gas extraction, excluding surveying	M.EUR
FI	Natural Gas Liquids	M.EUR
FI	Other Hydrocarbons	M.EUR
FI	Uranium and thorium ores (12)	M.EUR
FI	Iron ores	M.EUR
FI	Copper ores and concentrates	M.EUR
FI	Nickel ores and concentrates	M.EUR
FI	Aluminium ores and concentrates	M.EUR
FI	Precious metal ores and concentrates	M.EUR
FI	Lead, zinc and tin ores and concentrates	M.EUR
FI	Other non-ferrous metal ores and concentrates	M.EUR
FI	Stone	M.EUR
FI	Sand and clay	M.EUR
FI	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	M.EUR
FI	Products of meat cattle	M.EUR
FI	Products of meat pigs	M.EUR
FI	Products of meat poultry	M.EUR
FI	Meat products nec	M.EUR
FI	products of Vegetable oils and fats	M.EUR
FI	Dairy products	M.EUR
FI	Processed rice	M.EUR
FI	Sugar	M.EUR
FI	Food products nec	M.EUR
FI	Beverages	M.EUR
FI	Fish products	M.EUR
FI	Tobacco products (16)	M.EUR
FI	Textiles (17)	M.EUR
FI	Wearing apparel; furs (18)	M.EUR
FI	Leather and leather products (19)	M.EUR
FI	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	M.EUR
FI	Wood material for treatment, Re-processing of secondary wood material into new wood material	M.EUR
FI	Pulp	M.EUR
FI	Secondary paper for treatment, Re-processing of secondary paper into new pulp	M.EUR
FI	Paper and paper products	M.EUR
FI	Printed matter and recorded media (22)	M.EUR
FI	Coke Oven Coke	M.EUR
FI	Gas Coke	M.EUR
FI	Coal Tar	M.EUR
FI	Motor Gasoline	M.EUR
FI	Aviation Gasoline	M.EUR
FI	Gasoline Type Jet Fuel	M.EUR
FI	Kerosene Type Jet Fuel	M.EUR
FI	Kerosene	M.EUR
FI	Gas/Diesel Oil	M.EUR
FI	Heavy Fuel Oil	M.EUR
FI	Refinery Gas	M.EUR
FI	Liquefied Petroleum Gases (LPG)	M.EUR
FI	Refinery Feedstocks	M.EUR
FI	Ethane	M.EUR
FI	Naphtha	M.EUR
FI	White Spirit & SBP	M.EUR
FI	Lubricants	M.EUR
FI	Bitumen	M.EUR
FI	Paraffin Waxes	M.EUR
FI	Petroleum Coke	M.EUR
FI	Non-specified Petroleum Products	M.EUR
FI	Nuclear fuel	M.EUR
FI	Plastics, basic	M.EUR
FI	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	M.EUR
FI	N-fertiliser	M.EUR
FI	P- and other fertiliser	M.EUR
FI	Chemicals nec	M.EUR
FI	Charcoal	M.EUR
FI	Additives/Blending Components	M.EUR
FI	Biogasoline	M.EUR
FI	Biodiesels	M.EUR
FI	Other Liquid Biofuels	M.EUR
FI	Rubber and plastic products (25)	M.EUR
FI	Glass and glass products	M.EUR
FI	Secondary glass for treatment, Re-processing of secondary glass into new glass	M.EUR
FI	Ceramic goods	M.EUR
FI	Bricks, tiles and construction products, in baked clay	M.EUR
FI	Cement, lime and plaster	M.EUR
FI	Ash for treatment, Re-processing of ash into clinker	M.EUR
FI	Other non-metallic mineral products	M.EUR
FI	Basic iron and steel and of ferro-alloys and first products thereof	M.EUR
FI	Secondary steel for treatment, Re-processing of secondary steel into new steel	M.EUR
FI	Precious metals	M.EUR
FI	Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals	M.EUR
FI	Aluminium and aluminium products	M.EUR
FI	Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium	M.EUR
FI	Lead, zinc and tin and products thereof	M.EUR
FI	Secondary lead for treatment, Re-processing of secondary lead into new lead	M.EUR
FI	Copper products	M.EUR
FI	Secondary copper for treatment, Re-processing of secondary copper into new copper	M.EUR
FI	Other non-ferrous metal products	M.EUR
FI	Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	M.EUR
FI	Foundry work services	M.EUR
FI	Fabricated metal products, except machinery and equipment (28)	M.EUR
FI	Machinery and equipment n.e.c. (29)	M.EUR
FI	Office machinery and computers (30)	M.EUR
FI	Electrical machinery and apparatus n.e.c. (31)	M.EUR
FI	Radio, television and communication equipment and apparatus (32)	M.EUR
FI	Medical, precision and optical instruments, watches and clocks (33)	M.EUR
FI	Motor vehicles, trailers and semi-trailers (34)	M.EUR
FI	Other transport equipment (35)	M.EUR
FI	Furniture; other manufactured goods n.e.c. (36)	M.EUR
FI	Secondary raw materials	M.EUR
FI	Bottles for treatment, Recycling of bottles by direct reuse	M.EUR
FI	Electricity by coal	M.EUR
FI	Electricity by gas	M.EUR
FI	Electricity by nuclear	M.EUR
FI	Electricity by hydro	M.EUR
FI	Electricity by wind	M.EUR
FI	Electricity by petroleum and other oil derivatives	M.EUR
FI	Electricity by biomass and waste	M.EUR
FI	Electricity by solar photovoltaic	M.EUR
FI	Electricity by solar thermal	M.EUR
FI	Electricity by tide, wave, ocean	M.EUR
FI	Electricity by Geothermal	M.EUR
FI	Electricity nec	M.EUR
FI	Transmission services of electricity	M.EUR
FI	Distribution and trade services of electricity	M.EUR
FI	Coke oven gas	M.EUR
FI	Blast Furnace Gas	M.EUR
FI	Oxygen Steel Furnace Gas	M.EUR
FI	Gas Works Gas	M.EUR
FI	Biogas	M.EUR
FI	Distribution services of gaseous fuels through mains	M.EUR
FI	Steam and hot water supply services	M.EUR
FI	Collected and purified water, distribution services of water (41)	M.EUR
FI	Construction work (45)	M.EUR
FI	Secondary construction material for treatment, Re-processing of secondary construction material into aggregates	M.EUR
FI	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	M.EUR
FI	Retail trade services of motor fuel	M.EUR
FI	Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)	M.EUR
FI	Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)	M.EUR
FI	Hotel and restaurant services (55)	M.EUR
FI	Railway transportation services	M.EUR
FI	Other land transportation services	M.EUR
FI	Transportation services via pipelines	M.EUR
FI	Sea and coastal water transportation services	M.EUR
FI	Inland water transportation services	M.EUR
FI	Air transport services (62)	M.EUR
FI	Supporting and auxiliary transport services; travel agency services (63)	M.EUR
FI	Post and telecommunication services (64)	M.EUR
FI	Financial intermediation services, except insurance and pension funding services (65)	M.EUR
FI	Insurance and pension funding services, except compulsory social security services (66)	M.EUR
FI	Services auxiliary to financial intermediation (67)	M.EUR
FI	Real estate services (70)	M.EUR
FI	Renting services of machinery and equipment without operator and of personal and household goods (71)	M.EUR
FI	Computer and related services (72)	M.EUR
FI	Research and development services (73)	M.EUR
FI	Other business services (74)	M.EUR
FI	Public administration and defence services; compulsory social security services (75)	M.EUR
FI	Education services (80)	M.EUR
FI	Health and social work services (85)	M.EUR
FI	Food waste for treatment: incineration	M.EUR
FI	Paper waste for treatment: incineration	M.EUR
FI	Plastic waste for treatment: incineration	M.EUR
FI	Intert/metal waste for treatment: incineration	M.EUR
FI	Textiles waste for treatment: incineration	M.EUR
FI	Wood waste for treatment: incineration	M.EUR
FI	Oil/hazardous waste for treatment: incineration	M.EUR
FI	Food waste for treatment: biogasification and land application	M.EUR
FI	Paper waste for treatment: biogasification and land application	M.EUR
FI	Sewage sludge for treatment: biogasification and land application	M.EUR
FI	Food waste for treatment: composting and land application	M.EUR
FI	Paper and wood waste for treatment: composting and land application	M.EUR
FI	Food waste for treatment: waste water treatment	M.EUR
FI	Other waste for treatment: waste water treatment	M.EUR
FI	Food waste for treatment: landfill	M.EUR
FI	Paper for treatment: landfill	M.EUR
FI	Plastic waste for treatment: landfill	M.EUR
FI	Inert/metal/hazardous waste for treatment: landfill	M.EUR
FI	Textiles waste for treatment: landfill	M.EUR
FI	Wood waste for treatment: landfill	M.EUR
FI	Membership organisation services n.e.c. (91)	M.EUR
FI	Recreational, cultural and sporting services (92)	M.EUR
FI	Other services (93)	M.EUR
FI	Private households with employed persons (95)	M.EUR
FI	Extra-territorial organizations and bodies	M.EUR
FR	Paddy rice	M.EUR
FR	Wheat	M.EUR
FR	Cereal grains nec	M.EUR
FR	Vegetables, fruit, nuts	M.EUR
FR	Oil seeds	M.EUR
FR	Sugar cane, sugar beet	M.EUR
FR	Plant-based fibers	M.EUR
FR	Crops nec	M.EUR
FR	Cattle	M.EUR
FR	Pigs	M.EUR
FR	Poultry	M.EUR
FR	Meat animals nec	M.EUR
FR	Animal products nec	M.EUR
FR	Raw milk	M.EUR
FR	Wool, silk-worm cocoons	M.EUR
FR	Manure (conventional treatment)	M.EUR
FR	Manure (biogas treatment)	M.EUR
FR	Products of forestry, logging and related services (02)	M.EUR
FR	Fish and other fishing products; services incidental of fishing (05)	M.EUR
FR	Anthracite	M.EUR
