region		FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW
sector		Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite
region	stressor																																																																																					
FR	CO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48543009356	0.284532300873	0.266899595978	2.41665637276	0.836096419147	2.39196264493	0.499380090644	13.631707201	0.469475225945	0.490016421299	0.802742951368	2.37859229956	0.49644826525	3.52799980356	12.9206070807	11.1279500056	6.1814122763	0.743978632172	1.7374727468	0.804642790723	3.04321749523	0.962340277909	0.73026248541	0.63427346885	19.5916675299	0.0204494989977	0.0671287676709	0.106521390322	0.403657729157	0.235762276452	2.78711940585	23.5952102672	3.02203703142	2.38292797426	1.3485158297	0.730199460618	2.42335956503	4.27716142589	0.632081776821	1.06784418161	0.416757379653	8.4152080517	0.0624113268358	0.336433409985	0.486842959277	0.536653404763	0.158733264222	2.73414777418	10.6781573231	6.83287160958	2.44715804883	1.60845169519	0.582126675124	5.04718587121	1.20960048206	1.73696860746	1.35132360141	3.82436701904	13.3808160315	0.287459233416	0.168359339981	0.0956364857085	0.652287379619	0.373854918088	3.30945379332	12.3041034098	7.26043120806	4.20355546749
FR	CH4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.42360205824	0.431784710741	0.725694574477	0.636938228585	0.016087912634	0.0669081512924	0.007208218725	0.485596347412	0.0275237448043	0.0133768341335	0.00283130945989	0.0685037671406	0.00853955235646	0.210547602597	0.139484610689	0.0512504452151	2.65735427067	3.99566858926	4.46989639057	2.61522611661	0.804534918044	0.00894089018416	0.148116473537	0.00946370992243	0.110533917899	0.000168886863256	0.00112896928771	0.00100544544768	0.00570940875799	0.00277749552368	0.104510742856	0.0443722553544	0.022172557296	2.20064424933	2.92799477674	1.63897782934	2.92434993795	1.77079252143	0.00587214794882	0.0332682599831	0.00133904456377	0.0504933701042	0.00173964123552	0.00073891801286	0.00148795669845	0.00861481432283	0.00196153142405	0.297042644134	0.0233620332513	0.0130971800531	1.53966500364	14.0325950732	2.48714920789	18.7267183572	1.65214867354	0.175283728043	0.896294473026	0.117272039061	1.55594791058	0.0212885378106	0.0237414923271	0.0247283815086	0.317410732132	0.0140102356698	1.61618830972	0.154494021894	0.209894239217	4.97051861004
FR	N2O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.80747847192	0.00337840438817	0.00330448048835	0.00611481836696	0.00763148481764	0.0795737660606	0.00194823269803	0.0332338568018	0.00355151969057	0.00605870582305	0.00387114804466	0.0139393811666	0.00442021436749	0.00429328796954	0.141534512511	0.0597835231971	0.0616293135002	2.04395422129	0.0147971927119	0.00488708200734	0.00270357819879	0.00451902972529	0.0601580955629	0.00490182024316	0.0515311829021	0.000144853433793	0.000450772801734	0.000357833448787	0.00190331688725	0.000968664802327	0.0115659907138	0.189897457369	0.0202408047011	0.0129567085918	2.03063952829	0.00438644821708	0.0031320825748	0.0145881015614	0.00450121184035	0.0501328443418	0.00356669704217	0.0368538824681	0.00067089834927	0.00336755168574	0.00711057793307	0.00303226759013	0.00117320591253	0.00778050291838	0.0767269864875	0.109272202836	0.0277683206724	6.17516023447	0.00810599043755	0.0150261913416	0.0104556026616	0.0131007214746	0.414945696222	0.0392957123477	0.306077331966	0.00986772982293	0.00272760166444	0.00348242544462	0.0146888472932	0.00523758519659	0.0421615935671	0.0703848354945	0.0889500724865	0.23134779278
FR	SF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18096358883	0.0754740610325	0.00136699214857	0.0151494112558	0.162794504893	0.0813152150535	0.00411906410558	0.453941193311	0.00211896596814	0.00428538466639	0.000779422806934	0.0135148143874	0.00134821035896	0.0408260754653	0.00159559142342	0.00252514198994	0.180086539161	0.0074657482942	0.0100598394512	0.00782436110051	0.0132256513472	0.0403381582397	0.00186842204895	4.98922629557e-05	0.0362284141999	9.73941306918e-06	8.76953521047e-06	1.05028734774e-05	0.000759133272957	0.000404577737055	0.00785756762953	0.000190617649693	0.000208931381628	0.0298299202462	0.00976670488339	0.00621550263816	0.00447821695567	0.00807900932182	0.0286821666632	0.00465965761449	1.90936216152e-05	0.0382924736639	1.51093042957e-05	0.000136508477578	7.50350375456e-05	0.000880778715077	0.000102016222536	0.00865406485554	0.000208694084911	0.000248004983463	0.0658616255884	0.00624602489913	0.00390490296556	0.00112767159781	0.000585369414139	0.0385161828017	0.00131973198465	0.000140843261333	0.0169861174493	2.20016415182e-05	1.93165695843e-05	6.71440844042e-06	0.000367304120045	0.000116528625631	0.0101043928376	0.000189143005632	8.76146213439e-05	0.0209183664746
FR	HFC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45577576803	0.05305020308	0.00708724283958	0.0374580235558	0.589920046969	0.27082381504	0.0173054057105	0.522891655699	0.00298424716945	0.00557397572473	0.000896865093828	0.0663655454033	0.00917915547773	0.137030593478	0.00487694339428	0.00736912345553	0.387847429692	0.0128412562749	0.0131490661933	0.0210035426013	0.038201744708	0.0376779053494	0.0040106508545	0.00567161041903	1.45319676459	3.47171768396e-05	5.72625492183e-05	7.16692730921e-05	0.00147849380691	0.000829932102766	0.0272865433157	0.000608201943959	0.00109291934928	0.0369972281997	0.169419716753	0.106994000779	0.048440957695	0.110331177058	0.480903658027	0.0667796337206	0.000313147259831	0.447765956408	0.000399201008545	0.000532217575573	0.000424500133763	0.0205565332338	0.00366893353381	0.152054278861	0.00545176146373	0.00215080397844	1.09611759465	0.052893898645	0.0172213889257	0.0153527598086	0.00827029646587	0.0878245298669	0.0121150565203	0.00125069410615	0.358324821631	0.00011352032051	8.18403451556e-05	2.78089228324e-05	0.00328106488873	0.0013522245676	0.0281742091674	0.00104064889765	0.000448434711572	0.252667022483
FR	PFC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0989509706032	0.000435236135509	0.000381003945027	0.0024623314229	0.223268739043	0.0687324242661	0.00524591128806	0.465393816387	0.00133557673193	0.000462353330934	0.0002810312062	0.00985688491999	0.00282870532975	0.0208485735412	0.000959901534679	0.00404312301539	0.0839266393738	0.000487805127451	0.00058346000998	0.000373131527465	0.00067667951409	0.00240164848944	0.00014673273258	2.6570565068e-06	0.18638638165	6.75231616327e-07	1.48662817116e-05	2.71734711144e-05	0.000790952848025	4.24062430054e-05	0.000395151685409	0.000284968889501	8.91097431574e-05	0.0030726437813	0.0024864322641	0.000756322776312	0.000231442502076	0.00104845946325	0.0180438042397	0.00168811006525	7.02823110639e-06	0.0912149193621	2.28000391911e-06	7.89049415838e-05	4.10037964089e-05	0.000908965976274	0.000153445863554	0.00625966763008	0.000169419090755	1.31952042351e-05	0.0124483805936	0.00179532997387	0.000922127925445	0.000259687291092	0.000231514251727	0.0366053103372	0.000588810278518	8.7549860839e-05	0.0811548538597	6.73891449624e-06	2.29038955036e-05	1.61043276704e-06	0.000271112294572	8.78262834075e-05	0.0104567220381	9.91666580891e-05	2.53992144477e-05	0.00912210440852
Europe	CO2	2.03375319676	0.0509649507018	0.0206288927763	0.707085515514	0.104277715146	1.54128132885	0.153256067543	5.59606125021	0.0229344397295	0.20676244309	0.136228876098	0.726469365221	0.238936291622	1.32620304561	1.16782156192	7.79085476751	2.62227282701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.59922323505	11.7427177938	9.15287739566	71.0789190039	6.32934380457	4.26736202244	2.92269319215	120.87500512	0.131312891383	0.341894509383	0.567934063008	2.32002023515	1.30562162188	16.5336346338	145.017486922	14.9895064997	13.5089664378	7.33546335582	4.01609248455	13.1708340101	21.9137640813	3.88532828255	5.47886524138	3.01030902942	43.7751536684	0.350797630475	1.73175419475	2.52878121258	3.07959747238	0.868976235572	12.2445612383	58.4582118125	29.3272322462	12.4365213259	10.36432189	5.45627852438	24.0713964795	7.46203669546	11.1281754545	8.33199995383	18.7389777102	81.2816956227	1.71702447815	0.514564359227	0.519967678227	3.19068535514	1.80097121983	13.2386553758	67.0476748316	33.5189272222	23.2240231822
Europe	CH4	8.60793767215	1.09030838652e-05	0.25807644051	0.064744534155	0.000267712132981	0.050755912883	0.00220751070476	0.0290843912356	0.000120229523749	0.00166642321879	0.00169945065481	0.00307277580486	0.00108412945156	0.0119985134416	0.00492980088162	0.00411280566774	0.991674223544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.7009403504	30.2098159403	29.748410454	18.791122345	0.0588045301579	0.865533457762	0.0436081941326	0.681962771757	0.00108447753821	0.00574997000723	0.00536067654117	0.0328147905824	0.0153814183717	0.619974312569	0.272714372437	0.109977372299	12.4755886989	15.9272868125	9.01436785121	15.8936907985	9.07254267201	0.036095365096	0.170691863477	0.00967214532462	0.262661959391	0.00977806520447	0.00380349968334	0.00772881043563	0.0494363031673	0.0107382923244	1.33027076329	0.127896850257	0.0562141458431	7.82461789162	90.4213242623	23.312071736	89.3127920862	10.1921206309	1.12298407213	5.52637835975	0.57462009139	9.45159728489	0.127158693392	0.072562210019	0.134446168992	1.5526251254	0.0674915054034	6.46516355599	0.841870764441	0.969009901352	27.4613812806
