region	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW
sector	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite
stressor																																																																																					
CO2	0.000137627985498	0.00160508414866	0.000167730682943	0.000299625588829	9.86815553755e-05	4.8483338577e-05	1.94098802279e-05	0.000169323779948	7.44381176379e-06	9.14040320851e-06	8.55722215037e-06	2.26709067709e-05	3.50697425874e-05	0.000308155384128	0.000297524327294	0.000439583426874	1.95196384567e-05	0.000184100182014	0.000657538571518	0.000538298848105	0.000637877589192	0.000513734816161	5.1404335508e-05	2.85699892771e-05	0.000252872668944	8.86843707477e-05	9.53919508265e-06	8.58421728566e-05	4.76355911462e-05	4.04129261563e-05	0.000409569496832	0.00172529690267	0.000395263781403	3.66140248027e-05	0.000127926789899	0.00116590955023	0.000250020966567	0.00495699836789	0.000531592749641	0.000101365054026	3.6650676938e-05	0.000786133845102	2.27452523201e-05	3.11239668533e-05	5.33870667444e-05	3.02289803222e-05	1.76452304515e-05	0.000460933058713	0.00900069457394	0.000592588248204	6.33170467542e-05	0.000231257727606	0.000758183052993	0.000669226819163	0.000995030964383	0.000411672717906	9.81864343676e-05	0.000101660711201	0.000233395247266	2.11007907775e-05	2.84949079098e-05	6.77409352996e-05	2.64102297735e-05	1.99506103588e-05	0.000418325227141	0.00434452641649	0.000406078672742	1.93194984558e-05	0.000124417137343	0.00136446741607	0.000412184130486	0.00116603936046	0.000882013737551	0.000192786431697	0.000700200497504	0.000626260127873	8.19547705712e-05	3.50579611788e-05	4.19066266409e-05	5.91342465885e-05	5.75037570532e-05	0.000525486327731	0.00601929680369	0.000426964704916	7.30102144399e-05
CH4	0.00058251567742	3.43380437782e-07	0.00209838395534	2.74353225233e-05	2.53345114425e-07	1.5966041131e-06	2.79581220295e-07	8.8002593991e-07	3.90227951408e-08	7.36680216586e-08	1.06751058978e-07	9.58920184868e-08	1.59122503073e-07	2.78796412874e-06	1.25595873448e-06	2.32056849145e-07	7.38181096605e-06	0.000549879271867	0.000997830829868	0.00146362362253	0.000168120145791	9.88512885618e-06	1.43788577323e-06	4.1238875065e-07	9.00797255904e-06	5.19926474006e-06	2.60408069691e-07	3.02769093958e-07	1.37191121155e-06	6.95154607129e-07	2.444270988e-05	1.86254690115e-05	1.82041119561e-06	1.57401627374e-05	0.000687053409895	0.00299946856716	0.000812610724915	0.00131048085847	4.93891038995e-06	2.05595037979e-05	5.46848310762e-07	4.43527605599e-06	1.87846866993e-07	5.23441795645e-07	5.03915533402e-07	4.27564227142e-07	2.0787697392e-07	1.72839585818e-05	1.69263640154e-05	4.34779479856e-06	5.84735654328e-05	0.00050212344831	0.00170178873234	0.000807578633947	0.000411953914026	3.8245100471e-06	3.05895923919e-06	3.26636621999e-07	1.40043033141e-06	5.88159355035e-07	6.25841551535e-08	2.07039203336e-07	4.23959344528e-07	2.46537796217e-07	4.54475916597e-05	9.50510163241e-06	7.78367543915e-07	1.21551428501e-05	0.00108545088032	0.0058297174792	0.00152933858984	0.00159265014462	8.9007167682e-05	0.000127869751571	2.1471249931e-05	7.28227736748e-05	6.06937272924e-06	4.94376086543e-06	1.0835645451e-05	2.87754218312e-05	2.15495677396e-06	0.000256623875974	7.55801004919e-05	1.23432657569e-05	8.63313526854e-05
N2O	0.000359802866468	1.03614143746e-05	2.59490980638e-06	1.47196627879e-07	6.22500999654e-07	2.12954519796e-06	2.09580702212e-08	6.30613779107e-07	1.93344662689e-08	5.30768874018e-08	4.86334790407e-08	2.04695011247e-07	3.16561098593e-07	5.54142911792e-07	1.09481727222e-06	5.66741253029e-06	1.55633027578e-07	0.00035609839279	7.80730760125e-06	6.664671162e-06	1.61400919148e-06	4.68912359872e-06	1.71007543821e-06	1.11460164982e-07	6.16499015484e-07	6.70885856271e-07	1.1794538771e-07	4.13965341006e-07	2.79161192191e-07	3.59823589551e-07	4.98412667616e-07	1.8899193709e-05	2.12350535657e-06	3.65045577323e-07	0.000351457005513	9.92947275361e-06	1.51852844673e-06	4.40377092334e-06	2.49629314341e-06	8.35032434045e-06	2.83245380681e-07	2.06773654645e-06	1.61115335951e-07	2.08998887159e-07	1.79341239877e-07	1.42534936348e-07	7.24980854636e-08	1.91278043759e-06	7.24388125721e-05	3.9689993456e-06	3.44274158745e-07	0.000348235499025	4.55455102391e-06	8.64945379602e-07	3.39374910595e-06	2.93162400838e-06	4.60962874115e-06	8.70033683022e-07	1.02214003011e-06	2.26825584691e-07	2.8522159904e-07	9.89389269225e-07	1.49226452454e-07	1.4745601148e-07	1.19041870427e-06	3.12172231186e-05	6.49406481354e-06	2.19221651257e-07	0.000477661692484	1.8999919261e-05	1.22713087465e-06	1.00790669495e-05	6.65240365473e-06	5.91981817228e-05	7.19462258687e-06	1.43252869336e-05	2.8132946856e-06	5.67976527311e-07	1.52595217015e-06	1.33164299215e-06	8.05608839467e-07	6.69456120511e-06	3.44330018377e-05	5.2308933675e-06	4.01820603813e-06
SF6	9.68828489173e-07	3.00398326637e-07	1.1566479962e-07	1.22529069253e-08	1.21023684673e-05	1.73249792373e-07	1.58834722751e-08	1.37396221149e-07	0	0	0	1.64443909028e-08	2.40402406224e-08	5.79707761082e-07	0	0	6.28440968013e-08	1.34042915662e-05	0.000174416423463	2.75703039657e-06	3.99869424485e-06	0.00010002818231	1.74749994753e-06	2.35655404637e-07	8.42075899986e-06	4.00274930677e-07	8.34239804219e-08	8.3348408363e-08	2.70658478417e-07	1.09749856115e-07	4.73954538464e-06	2.13060340243e-07	8.96928159294e-08	1.06669685126e-06	1.28373204843e-06	6.75053056892e-06	2.43120841655e-06	2.15428349256e-05	2.22826301116e-05	2.59348803641e-07	2.88296027045e-09	1.45369874787e-06	1.08328036659e-08	4.06595760178e-09	5.26389681595e-09	5.68497098224e-08	3.02799392392e-08	1.29948242401e-06	7.27135391402e-08	4.09691476797e-08	7.92614160103e-07	1.67489763767e-06	6.45370069446e-06	1.23668931842e-06	1.87948586371e-06	1.86805978889e-05	4.2844749676e-07	4.65755676461e-09	1.06203926324e-06	5.10833986234e-09	1.15618615216e-08	1.04406226417e-08	4.33456082423e-08	1.28220503501e-08	1.32407387801e-06	8.49094967816e-08	1.4738976564e-08	5.19955617276e-07	4.83143224035e-07	9.15284093156e-06	9.20925737386e-08	5.64288612165e-07	1.95580980584e-05	1.88279417197e-07	2.57868873893e-08	7.94998456061e-07	6.27267895131e-09	4.02234617139e-09	2.94216381481e-09	3.32985936665e-08	1.79236207786e-08	1.60440985666e-06	9.2530747778e-08	5.15235939525e-09	3.63324436624e-07
HFC	5.1724593932e-05	1.60886794682e-05	7.00603194328e-06	6.28857009997e-07	0.000631623238054	9.10949645184e-06	8.39141363353e-07	1.3356898942e-05	0	0	0	8.47402859339e-07	1.24113044285e-06	3.05555569179e-05	0	0	2.24159014742e-06	3.37601134183e-05	0.000122596115256	1.42939693963e-05	9.88706298132e-06	0.000362473107095	5.82012360493e-06	9.90058003611e-07	9.69981284042e-06	5.63727472191e-07	1.08509101967e-07	9.59072244512e-08	1.32908947347e-06	7.47220926056e-07	1.59080369462e-05	6.51221361356e-07	2.61750601072e-07	2.29731569028e-06	2.20804821869e-06	8.82351788228e-06	6.52628232434e-06	6.22255840948e-05	2.08131175273e-05	5.56703717729e-07	3.27726716306e-07	5.83108690721e-05	3.86146842593e-08	2.65495367432e-08	3.59196613423e-08	1.10720932531e-07	6.21148702531e-08	4.51264120432e-06	2.32006406167e-07	2.14309472678e-07	9.83057504468e-07	2.90538811966e-05	0.000111094355087	1.3377291799e-05	2.56672420275e-05	0.000313210921768	6.14027236962e-06	7.63868252833e-08	1.24187596398e-05	1.3496679828e-07	4.50772436798e-08	5.90663489076e-08	1.01164506035e-06	4.61134997279e-07	2.32643390174e-05	2.21810945267e-06	1.27822630777e-07	8.65348365517e-06	4.091454827e-06	4.03658259495e-05	1.25380045707e-06	7.97245978727e-06	4.45963395675e-05	1.72839319458e-06	2.28988648577e-07	1.67706175832e-05	3.23646998985e-08	1.70418560897e-08	1.21854973841e-08	2.97450642562e-07	2.07989755529e-07	4.47359674335e-06	5.09096386366e-07	2.63711326247e-08	4.38849294033e-06
PFC	2.99593263939e-07	1.03015813831e-07	5.95849471387e-08	4.98084945931e-09	3.63051572458e-06	5.37417178061e-08	4.5750088262e-09	5.58727484473e-07	0	0	0	4.61382119485e-09	7.49492926294e-09	1.63288850626e-07	0	0	1.79911923716e-08	7.32947257126e-06	1.00580688357e-06	7.68431229654e-07	6.49933540215e-07	0.000137186240702	1.47709020655e-06	3.00123357051e-07	8.63320893889e-06	2.52291868688e-07	9.00067513899e-09	3.0052371484e-08	1.9740185828e-07	2.30268222514e-07	2.4203345381e-06	1.28176264034e-07	1.43611365161e-07	4.97118120955e-07	8.38778714232e-08	3.91523607532e-07	1.15940521967e-07	1.1022213339e-06	1.32666059343e-06	2.03674317968e-08	1.53534594177e-10	7.47892657211e-06	7.5103617402e-10	6.89268811685e-09	1.36189727873e-08	5.9232603148e-08	3.17382382658e-09	6.53500795945e-08	1.08705025657e-07	1.74734412737e-08	8.1643562903e-08	4.26399648099e-07	7.85307498182e-07	6.39143822148e-08	2.43911680423e-07	1.17518685163e-05	1.55218814675e-07	1.71441468741e-09	2.52983984805e-06	7.70851832643e-10	6.68301356918e-09	5.7054034913e-09	4.4732782978e-08	1.9286056076e-08	9.57730561573e-07	6.89300309939e-08	7.84193137019e-10	9.82758223446e-08	1.38872567079e-07	2.16140843821e-06	2.12076557132e-08	2.23176771194e-07	1.85877778366e-05	8.40025530698e-08	1.60294385478e-08	3.79827725275e-06	1.92126787814e-09	4.76934561218e-09	7.05670060947e-10	2.4578156471e-08	1.35088266052e-08	1.66035388528e-06	4.85133721807e-08	1.49365344716e-09	1.58438922517e-07
