region		FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	FR	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW	RoW
sector		Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite	Agriculture	Crude coal	Crude oil	Natural gas	Extractive industry	Biomass_industry	Clothing	Heavy_industry	Construction	Automobile	Oth transport equipment	Machinery	Electronics	Fossil fuels	Electricity and heat	Transport services	Composite
region	stressor																																																																																					
FR	CO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10367956931	0.00703783972236	0.000745523264793	0.0969903776341	0.00983497180152	3.57082343832	0.564223863661	2.15817818737	1.71670547014	1.39693866596	0.556928287275	1.89032707551	0.425505626072	0.72890729444	0.225271638481	3.22661720169	6.88228793189	0.303517555511	0.000277067688979	0.000973912397191	0.00978935053916	0.00482488644553	0.636047385801	0.190283728057	0.375128152061	1.9327182073	0.549883449375	0.444273408173	0.894109464929	0.156161617177	0.0616634986181	0.0214865571413	0.712956422602	2.88149873935	0.314062805663	0.000859931469245	0.0101174192197	0.0477255824536	0.00850654719879	2.36340384376	0.461781983749	1.31138581286	1.29865840575	1.36040532446	0.503517725323	1.69598339617	0.40382801539	0.546834178184	0.0646976089089	4.18956823338	8.66275364021	0.309581323741	0.00258578661191	0.00436160896986	0.0319284265625	0.00606113183855	1.5836147202	0.311183409447	2.02082499878	0.939558817722	0.617624717616	0.407865040421	1.45978086477	0.563564891251	0.430083060136	0.052021597352	0.527801905151	3.04563802933
FR	CH4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09918435258	0.0012611718446	9.17100111788e-05	0.0110987490038	0.00119274007112	3.7145575989	0.122896926686	0.190503877155	0.324882708971	0.176636752787	0.07817965451	0.193598219572	0.0474723733265	0.0755338592205	0.0316875772416	0.0847580517317	1.88097330664	0.238890733699	6.32814435774e-05	0.000144669465371	0.00227851225243	0.00101803746479	0.682324593418	0.0648281112051	0.0571511798654	0.337478599273	0.0908820470936	0.0707962426308	0.149104089292	0.0263784262227	0.0119203157531	0.00480699471821	0.0270581864605	0.885509938875	0.779365741906	0.000152871301511	0.00211520368349	0.00845257476507	0.00276952734372	2.05934107122	0.112040997661	0.159475814326	0.257132015923	0.183377918713	0.0721457170645	0.203250603422	0.0599036663964	0.0997509156901	0.0116894749149	0.0936345422554	1.91767892636	0.593359727724	0.000900210550903	0.000941480740545	0.0162721297429	0.00183476156011	1.63272494171	0.102988371665	0.230182572085	0.29669162112	0.097634733547	0.059963859546	0.197863117968	0.0883483645407	0.0595206488132	0.0239524900229	0.0465908752006	1.30022197852
FR	N2O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89951196933	0.000601217888272	3.39098707631e-05	0.004591782818	0.000545410938738	2.24409169659	0.0528283969398	0.0808761917381	0.156188927261	0.0510288385581	0.0185799469374	0.0648014770579	0.0169455863427	0.0130754439882	0.0135198992901	0.0613483452349	0.865426894164	0.143286784113	3.04930806063e-05	6.35808470798e-05	0.00107264734743	0.000422838046706	0.408549487599	0.0338325435912	0.0277226279059	0.165798230104	0.0365465200386	0.0213530114694	0.0660680254654	0.0119186200496	0.0050768477112	0.00219766301949	0.0171397304769	0.393905324339	0.475952904432	6.40482448498e-05	0.000647426026426	0.00336875301523	0.00148651291253	1.23178217862	0.0510540188766	0.0738396906131	0.116088162451	0.0652365358924	0.019506989027	0.0749180290666	0.0248906435625	0.0282159646785	0.00470456260437	0.0744502463639	0.656991693922	0.358879970992	0.000484429050922	0.000367583647574	0.00806952830697	0.000889304506434	0.980958849745	0.050141067866	0.108152514157	0.15135050839	0.0375519909111	0.0149193608343	0.0774137616645	0.0380246164128	0.0128135000207	0.0124881702931	0.0243094121799	0.627719304791
FR	SF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00583342646282	1.26969002161e-05	7.06870773622e-07	0.000102699596881	0.000256247220192	0.0122261226774	0.000882478147872	0.00442644771392	0.00369255022959	0.00214580255248	0.000778455230441	0.00311236390285	0.000584363209048	0.00126410982121	0.000292730998626	0.00077007877894	0.012841819966	0.000587775716224	4.26252682489e-07	1.14869852143e-06	1.24651015656e-05	1.8161093389e-05	0.00185006529449	0.000344264840819	0.000729009138856	0.00275030740375	0.00092269634239	0.000642716338183	0.00146038284819	0.000230960682572	9.5170592066e-05	3.26185338323e-05	0.000203887746276	0.00536953633764	0.0015032150175	1.46685485334e-06	1.6035278775e-05	7.7265068004e-05	3.5546638164e-05	0.00757612590599	0.00077187768791	0.00268645995337	0.00264288823726	0.00226833546506	0.000739673135892	0.00283025633759	0.000620890632284	0.000963713020556	0.000102562551504	0.000807778415198	0.0148091142384	0.00126973907769	4.43599280874e-06	7.67414665815e-06	6.37174094874e-05	1.75558797073e-05	0.00550300051998	0.000554333322909	0.00400826668236	0.002252783264	0.00105234218284	0.000572400594297	0.00248131765912	0.000828506993469	0.00078085455645	0.000110598930796	0.000310664741346	0.00694572951382
FR	HFC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.310564400783	0.000712165031075	3.7254264551e-05	0.00562086921615	0.0134123408039	0.645226670606	0.0465626115858	0.277857612527	0.210700829109	0.118313686302	0.0387155389611	0.172523646356	0.0308064253867	0.066534424567	0.0161453343132	0.0382557569229	0.664373066586	0.0308998282903	2.26864666474e-05	5.99420848062e-05	0.000641558573899	0.000937974559448	0.0971806395836	0.0185106641216	0.0447755916834	0.150539479824	0.0511128330921	0.0321958257757	0.0800715391019	0.0123804720763	0.0050351600481	0.00167829871566	0.0100104665861	0.266385985964	0.079858090191	7.88781756819e-05	0.000847812676744	0.00410321257001	0.00188193642522	0.399146821024	0.0412636527806	0.168093948356	0.145417795975	0.128232013434	0.0377756689226	0.156985284369	0.0336799499631	0.0505771445837	0.00537941705568	0.0396628462852	0.704909888161	0.067430989729	0.000241228741251	0.000413055882197	0.00338001580524	0.000925835343436	0.288347010464	0.0288894655844	0.25725729648	0.126315170505	0.0592982151463	0.0282459227301	0.136395531469	0.0439468128766	0.0408866760425	0.00579638194106	0.0159195255605	0.352549026783
FR	PFC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00201440644709	1.06716377511e-05	4.73494625412e-07	7.95307536423e-05	8.31793797961e-05	0.00479938867225	0.000592203501625	0.00573202922467	0.00328491639507	0.0020858345521	0.000553921699356	0.00273517890803	0.000430199737451	0.000486226440491	0.000228773921576	0.000406263278245	0.00859903279201	0.000258303236474	3.19340351826e-07	8.34395243043e-07	7.87037584989e-06	8.23492007138e-06	0.000766818850043	0.000244532862715	0.000890925225703	0.00223108411782	0.000851121759749	0.00044672513054	0.00122369603055	0.000176442211856	5.86312163585e-05	2.1888008152e-05	0.000115067297768	0.00322706629625	0.000536396511303	1.10421263371e-06	1.1571647426e-05	5.68919865225e-05	1.63411920764e-05	0.00311049613299	0.000549165440786	0.00346062053219	0.00208601695712	0.00227456012473	0.000559957442069	0.00250300102008	0.000508421653685	0.000401731748629	7.06020395436e-05	0.000422388911247	0.00842716801938	0.000490857676461	3.1449905444e-06	5.00683493148e-06	3.77392587568e-05	9.00034701445e-06	0.00205812945138	0.000335678315661	0.00564769605312	0.00184502176439	0.0010371097657	0.00039321965983	0.00208768605167	0.000603943836661	0.000272900780537	5.62093758382e-05	0.000168202889415	0.00400238291972
Europe	CO2	0.438619838429	0.0047824893	2.20271871295e-05	0.504881965812	0.000621851080957	8.15437426001	3.66735649449	1.54147990129	2.934488686	7.01576843096	0.141629769573	0.493546268392	0.158347284152	5.10232571363	1.79910834399	12.7007951336	11.6213188224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17786625379	0.00364842099654	0.00940082833479	0.0906986803738	0.0836252668204	6.05100246141	2.29066373543	4.03049666983	20.2221458043	9.64391446959	3.46174463335	13.6314033038	1.77256698986	0.864885057178	0.243180822613	5.13411140994	30.8195344524	3.38929010164	0.013153527483	0.132493334536	0.71770249159	0.105946904423	22.8230551258	6.22325298277	16.7947910696	18.1254816668	24.5210911872	5.97864219579	28.9882186736	5.3345440406	8.90409382448	1.0545711178	22.6371473696	87.7470723444	2.82180275944	0.059359323469	0.0524101952799	1.02702481405	0.140498295456	13.5445812851	3.51209777108	14.5570447606	13.8644887913	8.76506401546	3.75673387759	21.8878812522	5.33673921792	5.64385525829	0.590335977391	5.48419268296	39.200343036
Europe	CH4	0.102815634708	0.00536204448817	3.82883272457e-06	0.1113352498	0.000134402574651	3.58426099297	0.444286471131	0.341385822659	0.624166728523	0.755247178523	0.0178145594328	0.0662697295073	0.0223016012022	0.790871083422	0.481737564626	0.485440325161	1.920289856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.849084665043	0.000993651571264	0.00119396225298	0.0128768955584	0.00879975217395	2.22122457008	0.364315435129	0.437838049607	2.47480044836	1.07892372224	0.357051869895	1.48501406189	0.210412263059	0.129709262577	0.0369021440358	0.278719976152	5.66264652289	4.76173985606	0.00469025441389	0.0243121950416	0.113509122266	0.020178693765	9.38390775282	0.952290615755	1.60096780863	2.72847763767	2.61294937809	0.55258843961	2.89124524219	0.611761706267	1.59704390116	0.173860988909	1.14891347832	16.2109411912	2.24449076295	0.0458763709087	0.00948715904703	0.199667770305	0.0157216850984	5.90484848755	0.642021781214	1.55263553389	2.21612984114	0.985494338905	0.334929423512	2.25008126406	0.652471197839	0.911111119441	0.118413229756	0.420230793191	8.60631718018
