region	FR	FR	FR	FR	FR	FR	FR	Europe	Europe	Europe	Europe	Europe	Europe	Europe	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	RoW	RoW	RoW	RoW	RoW	RoW	RoW
category	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)
stressor																																			
CO2	76.0947624146	3.51434212129	7.3339089835	0	0	0	0	536.278350091	18.619138887	42.1453227061	0	0	0	0	948.712392496	46.630431627	62.6234543206	0	0	0	0	2100.19103786	43.5854522059	86.9024419797	0	0	0	0	1142.26873485	0.388041197767	2.10652389488	0	0	0	0
CH4	1.31190365509	0.101419674226	0.217743910951	0	0	0	0	9.02665142338	0.736593589171	1.4469776747	0	0	0	0	136.684725663	4.29703381297	7.62645113263	0	0	0	0	4.70922627944	0.360735092883	0.698756471787	0	0	0	0	146.459893508	0.00407691383728	0.435300989708	0	0	0	0
N2O	1.28630832605	0.00326616420095	0.0107101481057	0	0	0	0	4.50488519062	0.0269618172953	0.0363849567775	0	0	0	0	15.1807305444	0.29990412398	0.516422210534	0	0	0	0	39.9131427296	0.0742907592095	0.185571185471	0	0	0	0	30.9734471617	0.00184293199293	0.077447324574	0	0	0	0
SF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HFC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
