region		FR	FR	FR	FR	FR	FR	FR	Europe	Europe	Europe	Europe	Europe	Europe	Europe	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	RoW	RoW	RoW	RoW	RoW	RoW	RoW
category		Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)
FR	Electronics	1956.93538405	0	0	3559.95717198	1853.88107031	0	0	1845.28374973	15.3927598241	1.45243114643	1098.7918662	157.285770245	0	0	291.983394262	8.42777445112	9.85288333081	218.166050648	39.9092223236	0	0	751.573171596	0	0.613860388967	634.953699915	24.6744772287	0	0	1302.51776728	0.0116563839588	0.0532595840534	2248.52341835	8.73080018796	0	0
FR	Fossil fuels	13216.3834929	0	19.3350500539	6.17247519062e-08	59.5965485079	0	0	1225.26708249	0.014264994148	0.494718090804	0.0388839987364	105.612562364	0	0	14.3615183065	0.453491722728	0.58978074835	0	10.5529518928	0	0	921.15815863	0	0.341360218437	0.0733124137536	17.9167759861	0	0	997.85432776	0.0726773725342	2.75983532679	0.00540523066312	0.0600790657739	0	0
FR	Electricity and heat	27593.7377664	0	0	0	0	0	0	0.0324808301231	0	0.00515234986841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FR	Transport services	48001.2884492	89.1934329163	11704.6465324	1162.88061326	263.196207949	0	0	4797.22508517	0.62847559816	189.01860254	11.7326686525	0.846121325173	0	0	688.333552104	8.18727541135	32.1070305149	206.119776776	13.5745671127	0	0	6314.7296911	9.72230040896	10.6104455553	48.5318920598	25.4858601306	0	0	669.59761262	1.03605860279	6.81346561376	5.9212565238	9.15201004582	0	0
FR	Composite	558298.237885	211392.293129	455491.721034	128571.503893	2807.44069662	0	0	14492.5259618	392.102051567	1159.92267931	2335.65856485	166.461825042	0	0	7104.66682909	434.582562062	494.354820347	163.143558473	267.673320865	0	0	41440.5521693	715.311920187	1022.85950159	2716.54839585	450.872397362	0	0	6445.39594898	133.446982442	716.656544818	2910.73299761	54.6898358963	0	0
Europe	Agriculture	0	0	0	0	0	0	0	103108.937214	807.361182715	919.812632602	6757.84111275	6929.8576246	0	0	673.756212389	34.5049071419	60.4484815578	52.9545608559	8.26773233911	0	0	6697.23220997	8.22146883862	2.46559768677	504.51626394	117.409539316	0	0	2460.0361419	0.0099691791838	63.3346985093	102.727686275	0.76695556821	0	0
Europe	Crude coal	2.52291562585	0	0	8.45684786778e-08	2.59820839713	0	0	4748.8798971	89.7846697617	23.3957391816	21.2888645891	589.512167426	0	0	0.0173530914796	0.00247492826317	0.00471856011005	1.6673215808e-07	0.496739934963	0	0	2.10205652718	0.00397555589869	0.643624895099	0.0187623743827	0.210107501547	0	0	26.0403600559	0.00111428799961	13.7816186349	0.276503386963	0	0	0
Europe	Crude oil	0	0	0	0	0	0	0	0	0	135.112130847	376.183451072	35.2257596864	0	0	0	0	0	0	0	0	0	0	0	0	1.00092035016	0.251732069836	0	0	0	6.2355729736e-08	5.61027317539e-06	0.578359683329	0	0	0
Europe	Natural gas	2.67753064507e-07	0	0	2.50808782099e-07	2.02608162793	0	0	33113.7450813	0.0235131515952	436.244002596	2839.17536858	3047.48773794	0	0	0.0120035536648	0.000230338645074	0.00214993787779	2.09667095213e-09	0.0236962491179	0	0	4.77695614724e-07	0	0	11.3089738049	6.06094153961	0	0	72.398775029	6.85504244872e-06	0.0112396219336	32.1484510979	578.784642163	0	0
Europe	Extractive industry	0	0	0	0	0	0	0	345.1358692	0	17.1775757597	949.335672313	1798.15056708	0	0	11.4405218482	0	0	0	30.1832100293	0	0	2.39001928733	0.000475273306906	8.7101273952e-05	0.85429320477	13.140648559	0	0	4.04410095838	2.41827657949e-06	0.00287356602466	0.144990320065	86.5933944068	0	0
